transaction_id,account_id,branch_id,transaction_amount_vnd,transaction_hour,transaction_timestamp,location_city,device_id,biometric_failure_count,transaction_frequency_5min,total_loans_vnd,num_transactions,npl_flag,total_deposits_vnd,transaction_fees_vnd,is_fraud,fraud_type
TXN_00000001,ACC_003509,2,269050.6656080857,18,2025-06-27T18:32:22.132656,Nha Trang,DEV_16628,0,1,113301.65804242913,362,False,209070.04853429622,209.07004853429623,False,normal
TXN_00000002,ACC_003744,1,1097858.3098174348,18,2025-06-27T18:32:22.146397,Hanoi,DEV_45513,0,1,1115763.474808057,310,False,1305526.3643269278,1305.526364326928,False,normal
TXN_00000003,ACC_002280,10,1078557.598619614,18,2025-06-27T18:32:22.146397,Hue,DEV_42438,0,1,29428.588211187267,386,False,1313312.2063731526,1313.3122063731525,False,normal
TXN_00000004,ACC_001902,10,3228154.144755377,18,2025-06-27T18:32:22.146397,Hai Phong,DEV_24758,0,1,163019.26515098623,286,False,491212.86672848376,491.2128667284838,False,normal
TXN_00000005,ACC_002735,10,1136280.2784042335,18,2025-06-27T18:32:22.146397,Hanoi,DEV_24128,0,1,71530.38533211956,83,False,623925.617706803,623.925617706803,False,normal
TXN_00000006,ACC_001811,10,849967.426619099,18,2025-06-27T18:32:22.146397,Nha Trang,DEV_12599,0,1,29271.356021289525,395,False,389623.22376441193,389.62322376441193,False,normal
TXN_00000007,ACC_001989,9,705793.2898642735,18,2025-06-27T18:32:22.146397,Bien Hoa,DEV_11322,0,1,202965.58821502773,357,False,933804.7399058638,933.8047399058638,False,normal
TXN_00000008,ACC_004161,3,13205541.152947363,18,2025-06-27T18:32:22.146397,Hue,DEV_36363,0,1,66561.24276237468,164,False,615500.6777540842,615.5006777540842,False,normal
TXN_00000009,ACC_004493,8,241466.47793979544,18,2025-06-27T18:32:22.146397,Bien Hoa,DEV_42458,0,1,214928.06473530314,296,False,966445.4278642213,966.4454278642213,False,normal
TXN_00000010,ACC_004178,7,1687594.5807699228,18,2025-06-27T18:32:22.146397,Hue,DEV_27584,0,1,2294062.0733936,61,False,997875.2934649532,997.8752934649532,False,normal
TXN_00000011,ACC_001962,1,1697736.060133682,18,2025-06-27T18:32:22.146397,Ho Chi Minh City,DEV_48679,0,1,463176.5397015672,195,False,60640.827518452075,60.64082751845208,False,normal
TXN_00000012,ACC_002610,8,476188.2989164157,18,2025-06-27T18:32:22.146397,Nha Trang,DEV_32316,0,1,376693.6317329581,147,False,6036871.303652162,6036.871303652162,False,normal
TXN_00000013,ACC_002098,3,54142.20741190184,18,2025-06-27T18:32:22.146397,Hai Phong,DEV_15455,0,1,1173824.143260403,408,False,2529174.1579591264,2529.1741579591267,False,normal
TXN_00000014,ACC_002813,7,482911.8846622726,18,2025-06-27T18:32:22.146397,Hai Phong,DEV_27828,0,1,216034.6402636283,172,False,772808.6783964032,772.8086783964033,False,normal
TXN_00000015,ACC_001792,2,5611182.219360598,18,2025-06-27T18:32:22.146397,Hanoi,DEV_38768,0,1,331047.0446314284,290,False,121764.76119728514,121.76476119728515,False,normal
TXN_00000016,ACC_001497,2,6253526.477780716,18,2025-06-27T18:32:22.146397,Da Nang,DEV_49518,0,1,27317.355124452242,317,False,143602.1111487644,143.6021111487644,False,normal
TXN_00000017,ACC_003549,6,1708287.4149720285,18,2025-06-27T18:32:22.146397,Hai Phong,DEV_44795,0,1,13296.371083469576,359,False,428904.8333769291,428.9048333769291,False,normal
TXN_00000018,ACC_004831,6,1441566.8299794535,18,2025-06-27T18:32:22.146397,Da Nang,DEV_40825,1,1,88252.01361901461,440,True,1238866.8558655442,1238.8668558655443,False,normal
TXN_00000019,ACC_004334,1,7212634.348204591,18,2025-06-27T18:32:22.146397,Hanoi,DEV_14191,1,1,81584.4877286416,74,False,238523.33801547394,238.52333801547394,False,normal
TXN_00000020,ACC_003772,9,916736.0259025188,18,2025-06-27T18:32:22.146397,Hue,DEV_30157,0,1,321626.72904024733,331,False,790136.6536261918,790.1366536261918,False,normal
TXN_00000021,ACC_003718,9,5896938.436855033,18,2025-06-27T18:32:22.146397,Bien Hoa,DEV_38464,0,1,751631.8402463082,238,False,159179.31813912434,159.17931813912435,False,normal
TXN_00000022,ACC_002883,1,59086700.04032938,18,2025-06-27T18:32:22.146397,Bien Hoa,DEV_40308,0,1,8895209.075245911,176,False,235353.62756280813,235.35362756280813,False,normal
TXN_00000023,ACC_002460,10,2710076.5284849964,18,2025-06-27T18:32:22.146397,Can Tho,DEV_13087,0,1,140493.3412507035,285,False,130612.62511201404,130.61262511201403,False,normal
TXN_00000024,ACC_001103,4,277417.7734235193,18,2025-06-27T18:32:22.146397,Da Nang,DEV_22363,0,1,471173.50069566205,471,False,1125636.9613023617,1125.6369613023617,False,normal
TXN_00000025,ACC_001530,7,150646.7833507093,18,2025-06-27T18:32:22.146397,Hue,DEV_42202,1,1,379859.0268566891,387,False,2057005.8152874748,2057.005815287475,False,normal
TXN_00000026,ACC_001381,2,449313.24424316164,18,2025-06-27T18:32:22.146397,Hanoi,DEV_27690,0,1,24476906.012692742,334,False,49017.38343554869,49.017383435548695,False,normal
TXN_00000027,ACC_003898,7,1404176.1930724736,18,2025-06-27T18:32:22.146397,Da Nang,DEV_39476,0,1,617404.2376257302,362,False,430195.8779070465,430.1958779070465,False,normal
TXN_00000028,ACC_004587,3,853530.4578954702,18,2025-06-27T18:32:22.146397,Da Nang,DEV_10478,0,1,3174868.846134377,138,False,158794.6068796261,158.79460687962612,False,normal
TXN_00000029,ACC_004815,2,746777.4623496588,18,2025-06-27T18:32:22.146397,Bien Hoa,DEV_12088,0,1,1478591.1517827515,465,False,1507376.2815728318,1507.3762815728319,False,normal
TXN_00000030,ACC_001886,1,1100122.344610509,18,2025-06-27T18:32:22.146397,Bien Hoa,DEV_44300,1,1,1156295.7809131432,396,False,1751359.5831795875,1751.3595831795876,False,normal
TXN_00000031,ACC_003546,3,1097746.6343155652,18,2025-06-27T18:32:22.146397,Hanoi,DEV_33356,0,1,462351.4819379445,153,False,126783.9066106853,126.7839066106853,False,normal
TXN_00000032,ACC_002825,10,1405575.3360202315,18,2025-06-27T18:32:22.147395,Hue,DEV_39287,0,1,280540.09230748384,484,False,2891267.9638506644,2891.2679638506647,False,normal
TXN_00000033,ACC_004061,10,4547076.403485498,18,2025-06-27T18:32:22.147395,Bien Hoa,DEV_44397,0,1,6440.299212775508,435,False,55632.30939124172,55.63230939124172,False,normal
TXN_00000034,ACC_003493,1,259945.1567131638,18,2025-06-27T18:32:22.147395,Da Nang,DEV_24351,0,1,75367.8388115306,397,False,319706.00505672744,319.70600505672746,False,normal
TXN_00000035,ACC_002285,1,1854361.5877369575,18,2025-06-27T18:32:22.147395,Can Tho,DEV_12742,0,1,1439361.8170663447,224,False,127192.76070296195,127.19276070296196,False,normal
TXN_00000036,ACC_002062,4,781428.1331060402,18,2025-06-27T18:32:22.147395,Hai Phong,DEV_25191,0,1,15549.971385515204,475,False,62831.068354055045,62.83106835405505,False,normal
TXN_00000037,ACC_003775,7,307831.0167307787,18,2025-06-27T18:32:22.147395,Nha Trang,DEV_42893,0,1,4663001.141023392,325,False,392855.8378357106,392.85583783571064,False,normal
TXN_00000038,ACC_002854,6,496841.9703223068,18,2025-06-27T18:32:22.147395,Ho Chi Minh City,DEV_40377,0,1,360443.24744996085,406,False,474521.46140391374,474.52146140391375,False,normal
TXN_00000039,ACC_001700,4,445534.26282027713,18,2025-06-27T18:32:22.147395,Can Tho,DEV_21309,0,1,1009834.5332569166,189,False,861101.9796058985,861.1019796058985,False,normal
TXN_00000040,ACC_004931,5,3636508.2978459955,18,2025-06-27T18:32:22.147395,Bien Hoa,DEV_39085,2,1,287882.9902131987,104,False,435316.5804079033,435.3165804079033,False,normal
TXN_00000041,ACC_002771,10,766557.9339337383,18,2025-06-27T18:32:22.147395,Ho Chi Minh City,DEV_29630,0,1,38303.4307319333,167,False,637474.1448440242,637.4741448440242,False,normal
TXN_00000042,ACC_003296,5,1609614.9665236734,18,2025-06-27T18:32:22.147395,Hai Phong,DEV_26800,0,1,15001357.928591095,161,False,538536.3441963331,538.5363441963331,False,normal
TXN_00000043,ACC_004612,5,251276.47921149698,18,2025-06-27T18:32:22.147395,Hai Phong,DEV_35060,0,1,320486.2829182413,343,False,2029426.7831382945,2029.4267831382945,False,normal
TXN_00000044,ACC_001151,4,186241.16170542393,18,2025-06-27T18:32:22.147395,Ho Chi Minh City,DEV_37391,0,1,6078126.270659674,192,False,767788.5190302287,767.7885190302287,False,normal
TXN_00000045,ACC_002646,9,330618.3590281642,18,2025-06-27T18:32:22.147395,Hanoi,DEV_39904,0,1,2320960.8777386323,175,False,2110769.220981894,2110.7692209818943,False,normal
TXN_00000046,ACC_003788,1,380486.57159400947,18,2025-06-27T18:32:22.147395,Da Nang,DEV_19307,0,1,69556.7246946574,50,True,18418.191532299126,18.418191532299126,False,normal
TXN_00000047,ACC_004538,10,2946043.861900198,18,2025-06-27T18:32:22.147395,Hanoi,DEV_22228,0,1,4983453.879213848,421,False,3770547.6315304725,3770.5476315304727,False,normal
